"","Screen_bg","consentkey.keys","consentkey.rt","beginexp.keys","beginexp.rt","checkresp.keys","checkresp.corr","checkresp.rt","Attention.thisRepN","Attention.thisTrialN","Attention.thisN","Attention.thisIndex","Attention.ran","Question","Solution","participant","Age","Gender","Handedness","Native.Language","date","expName","psychopyVersion","OS","frameRate","browser","xResolution","yResolution","gotoPrac.keys","gotoPrac.rt","InstRep.thisRepN","InstRep.thisTrialN","InstRep.thisN","InstRep.thisIndex","InstRep.ran","Prac_start.keys","Prac_start.rt","PreTargetDisplayTime","preResp.keys","preResp.corr","Target","ResponseKey_p.keys","ResponseKey_p.corr","ResponseKey_p.rt","prctrials.thisRepN","prctrials.thisTrialN","prctrials.thisN","prctrials.thisIndex","prctrials.ran","Block","Distractor1","Distractor2","Condition","Validity","CorrectAnswer","PositionT","PositionD","Saliency","WordPair","pracend.keys","pracend.rt","PracRepeat.thisRepN","PracRepeat.thisTrialN","PracRepeat.thisN","PracRepeat.thisIndex","PracRepeat.ran","ResponseKey.keys","ResponseKey.corr","ResponseKey.rt","firstlearntrials.thisRepN","firstlearntrials.thisTrialN","firstlearntrials.thisN","firstlearntrials.thisIndex","firstlearntrials.ran","brkcontinue.keys","Exptrials.thisRepN","Exptrials.thisTrialN","Exptrials.thisN","Exptrials.thisIndex","Exptrials.ran","brkcontinue.rt","afterpause.keys","afterpause.rt","blocks.thisRepN","blocks.thisTrialN","blocks.thisN","blocks.thisIndex","blocks.ran","CAproceed.keys","CAproceed.rt","CA_RespKey.keys","CA_RespKey.corr","CA_RespKey.rt","ContAwareness.thisRepN","ContAwareness.thisTrialN","ContAwareness.thisN","ContAwareness.thisIndex","ContAwareness.ran","AwarenessResp.keys","AwarenessResp.rt","Questionnaire.thisRepN","Questionnaire.thisTrialN","Questionnaire.thisN","Questionnaire.thisIndex","Questionnaire.ran","AwareQ","Performance","ContingencyChkScore","todebrief.keys","todebrief.rt","ExpExit.keys","ExpExit.rt","preResp.rt","PROLIFIC_PID"
"14","","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",34,29,"male","right","German","2020-10-16_17h08.25.503","OS_Exp2_Displayedit","2020.1.3","Win32",60,"Firefox",1920,1200,"",NA,NA,NA,NA,NA,NA,"",NA,0.45,NA,0,"4","[""l""]",1,"[0.9950000000000045]",0,8,8,15,1,"Practice","hoch","hoch","test","invalid","l","bottom","nil","nonsalient",NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"",NA,"",NA,0,NA
"15","","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",34,29,"male","right","German","2020-10-16_17h08.25.503","OS_Exp2_Displayedit","2020.1.3","Win32",60,"Firefox",1920,1200,"",NA,NA,NA,NA,NA,NA,"",NA,0.5,NA,0,"9","[""a""]",1,"[0.6680000000000064]",0,9,9,3,1,"Practice","hoch","dick","learn","valid","a","top","bottom","dick",NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"",NA,"",NA,0,NA
"16","","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",34,29,"male","right","German","2020-10-16_17h08.25.503","OS_Exp2_Displayedit","2020.1.3","Win32",60,"Firefox",1920,1200,"",NA,NA,NA,NA,NA,NA,"",NA,0.45,NA,0,"7","[""a""]",1,"[1.021000000000015]",0,10,10,10,1,"Practice","dick","dick","test","valid","a","top","nil","salient",NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"",NA,"",NA,0,NA
"17","","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",34,29,"male","right","German","2020-10-16_17h08.25.503","OS_Exp2_Displayedit","2020.1.3","Win32",60,"Firefox",1920,1200,"",NA,NA,NA,NA,NA,NA,"",NA,0.4,NA,0,"5","[""a""]",1,"[1]",0,11,11,13,1,"Practice","bunt","bunt","test","invalid","a","bottom","nil","salient",NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"",NA,"",NA,0,NA
"18","","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",34,29,"male","right","German","2020-10-16_17h08.25.503","OS_Exp2_Displayedit","2020.1.3","Win32",60,"Firefox",1920,1200,"",NA,NA,NA,NA,NA,NA,"",NA,0.55,NA,0,"6","[""l""]",1,"[0.9309999999999832]",0,12,12,6,1,"Practice","klar","bunt","learn","valid","l","bottom","bottom","bunt",NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"",NA,"",NA,0,NA
"19","","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",34,29,"male","right","German","2020-10-16_17h08.25.503","OS_Exp2_Displayedit","2020.1.3","Win32",60,"Firefox",1920,1200,"",NA,NA,NA,NA,NA,NA,"",NA,0.45,NA,0,"3","[""a""]",1,"[1.0900000000000034]",0,13,13,5,1,"Practice","dick","hoch","learn","valid","a","bottom","top","dick",NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"",NA,"",NA,0,NA
"20","","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",34,29,"male","right","German","2020-10-16_17h08.25.503","OS_Exp2_Displayedit","2020.1.3","Win32",60,"Firefox",1920,1200,"",NA,NA,NA,NA,NA,NA,"",NA,0.55,NA,0,"8","[""l""]",1,"[0.7319999999999993]",0,14,14,8,1,"Practice","klar","klar","test","valid","l","top","nil","nonsalient",NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"",NA,"",NA,0,NA
"21","","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",34,29,"male","right","German","2020-10-16_17h08.25.503","OS_Exp2_Displayedit","2020.1.3","Win32",60,"Firefox",1920,1200,"",NA,NA,NA,NA,NA,NA,"",NA,0.5,NA,0,"4","[""l""]",1,"[0.7980000000000018]",0,15,15,0,1,"Practice","bunt","klar","learn","valid","l","top","top","bunt",NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"",NA,"",NA,0,NA
"22","","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",34,29,"male","right","German","2020-10-16_17h08.25.503","OS_Exp2_Displayedit","2020.1.3","Win32",60,"Firefox",1920,1200,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,NA,"","","","","","","","","",NA,"space",16.213,0,0,0,0,1,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"",NA,"",NA,0,NA
"23","","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",34,29,"male","right","German","2020-10-16_17h08.25.503","OS_Exp2_Displayedit","2020.1.3","Win32",60,"Firefox",1920,1200,"",NA,NA,NA,NA,NA,NA,"",NA,0.45,NA,0,"4","",NA,"",NA,NA,NA,NA,NA,"HeadStartLearn","Markt","Kreis","learn","valid","l","top","bottom","Kreis",3,"",NA,NA,NA,NA,NA,NA,"[""l""]",1,"[0.8000000000000114]",0,0,0,2,1,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"",NA,"",NA,0,NA
"24","","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",34,29,"male","right","German","2020-10-16_17h08.25.503","OS_Exp2_Displayedit","2020.1.3","Win32",60,"Firefox",1920,1200,"",NA,NA,NA,NA,NA,NA,"",NA,0.55,NA,0,"8","",NA,"",NA,NA,NA,NA,NA,"HeadStartLearn","Markt","Kreis","learn","valid","l","bottom","bottom","Kreis",3,"",NA,NA,NA,NA,NA,NA,"[""l""]",1,"[0.6650000000000205]",0,1,1,6,1,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"",NA,"",NA,0,NA
"25","","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",34,29,"male","right","German","2020-10-16_17h08.25.503","OS_Exp2_Displayedit","2020.1.3","Win32",60,"Firefox",1920,1200,"",NA,NA,NA,NA,NA,NA,"",NA,0.45,NA,0,"5","",NA,"",NA,NA,NA,NA,NA,"HeadStartLearn","Tisch","Stein","learn","valid","a","top","bottom","Stein",3,"",NA,NA,NA,NA,NA,NA,"[""a""]",1,"[0.6659999999999968]",0,2,2,3,1,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"",NA,"",NA,0,NA
"26","","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",34,29,"male","right","German","2020-10-16_17h08.25.503","OS_Exp2_Displayedit","2020.1.3","Win32",60,"Firefox",1920,1200,"",NA,NA,NA,NA,NA,NA,"",NA,0.5,NA,0,"6","",NA,"",NA,NA,NA,NA,NA,"HeadStartLearn","Kreis","Markt","learn","valid","l","top","top","Kreis",3,"",NA,NA,NA,NA,NA,NA,"[""l""]",1,"[0.7839999999999918]",0,3,3,0,1,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"",NA,"",NA,0,NA
"27","","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",34,29,"male","right","German","2020-10-16_17h08.25.503","OS_Exp2_Displayedit","2020.1.3","Win32",60,"Firefox",1920,1200,"",NA,NA,NA,NA,NA,NA,"",NA,0.45,NA,0,"9","",NA,"",NA,NA,NA,NA,NA,"HeadStartLearn","Stein","Tisch","learn","valid","a","bottom","top","Stein",3,"",NA,NA,NA,NA,NA,NA,"[""a""]",1,"[0.8580000000000041]",0,4,4,5,1,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"",NA,"",NA,0,NA
"28","","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",34,29,"male","right","German","2020-10-16_17h08.25.503","OS_Exp2_Displayedit","2020.1.3","Win32",60,"Firefox",1920,1200,"",NA,NA,NA,NA,NA,NA,"",NA,0.35,NA,0,"2","",NA,"",NA,NA,NA,NA,NA,"HeadStartLearn","Kreis","Markt","learn","valid","l","bottom","top","Kreis",3,"",NA,NA,NA,NA,NA,NA,"[""l""]",1,"[0.6330000000000382]",0,5,5,4,1,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"",NA,"",NA,0,NA
"29","","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",34,29,"male","right","German","2020-10-16_17h08.25.503","OS_Exp2_Displayedit","2020.1.3","Win32",60,"Firefox",1920,1200,"",NA,NA,NA,NA,NA,NA,"",NA,0.5,NA,0,"9","",NA,"",NA,NA,NA,NA,NA,"HeadStartLearn","Stein","Tisch","learn","valid","a","top","top","Stein",3,"",NA,NA,NA,NA,NA,NA,"[""l"",""a""]",0,"[0.8709999999999809,2.5509999999999877]",0,6,6,1,1,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"",NA,"",NA,0,NA
"30","","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",34,29,"male","right","German","2020-10-16_17h08.25.503","OS_Exp2_Displayedit","2020.1.3","Win32",60,"Firefox",1920,1200,"",NA,NA,NA,NA,NA,NA,"",NA,0.4,NA,0,"5","",NA,"",NA,NA,NA,NA,NA,"HeadStartLearn","Tisch","Stein","learn","valid","a","bottom","bottom","Stein",3,"",NA,NA,NA,NA,NA,NA,"[""a""]",1,"[0.7830000000000155]",0,7,7,7,1,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"",NA,"",NA,0,NA
"31","","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",34,29,"male","right","German","2020-10-16_17h08.25.503","OS_Exp2_Displayedit","2020.1.3","Win32",60,"Firefox",1920,1200,"",NA,NA,NA,NA,NA,NA,"",NA,0.5,NA,0,"7","",NA,"",NA,NA,NA,NA,NA,"HeadStartLearn","Tisch","Stein","learn","valid","a","top","bottom","Stein",3,"",NA,NA,NA,NA,NA,NA,"[""a""]",1,"[0.7679999999999723]",1,0,8,3,1,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"",NA,"",NA,0,NA
"32","","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",34,29,"male","right","German","2020-10-16_17h08.25.503","OS_Exp2_Displayedit","2020.1.3","Win32",60,"Firefox",1920,1200,"",NA,NA,NA,NA,NA,NA,"",NA,0.55,NA,0,"8","",NA,"",NA,NA,NA,NA,NA,"HeadStartLearn","Markt","Kreis","learn","valid","l","bottom","bottom","Kreis",3,"",NA,NA,NA,NA,NA,NA,"[""l""]",1,"[0.6009999999999991]",1,1,9,6,1,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"",NA,"",NA,0,NA
"33","","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",34,29,"male","right","German","2020-10-16_17h08.25.503","OS_Exp2_Displayedit","2020.1.3","Win32",60,"Firefox",1920,1200,"",NA,NA,NA,NA,NA,NA,"",NA,0.5,NA,0,"5","",NA,"",NA,NA,NA,NA,NA,"HeadStartLearn","Tisch","Stein","learn","valid","a","bottom","bottom","Stein",3,"",NA,NA,NA,NA,NA,NA,"[""a""]",1,"[0.6329999999999814]",1,2,10,7,1,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"",NA,"",NA,0,NA
