"","Screen_bg","consentkey.keys","consentkey.rt","beginexp.keys","beginexp.rt","checkresp.keys","checkresp.corr","checkresp.rt","Attention.thisRepN","Attention.thisTrialN","Attention.thisN","Attention.thisIndex","Attention.ran","Question","Solution","participant","Age","Gender","Handedness","Native.Language","date","expName","psychopyVersion","OS","frameRate","browser","xResolution","yResolution","gotoPrac.keys","gotoPrac.rt","InstRep.thisRepN","InstRep.thisTrialN","InstRep.thisN","InstRep.thisIndex","InstRep.ran","Prac_start.keys","Prac_start.rt","PreTargetDisplayTime","Target","ResponseKey_p.keys","ResponseKey_p.corr","ResponseKey_p.rt","prctrials.thisRepN","prctrials.thisTrialN","prctrials.thisN","prctrials.thisIndex","prctrials.ran","Block","Distractor1","Distractor2","Condition","Validity","CorrectAnswer","PositionT","PositionD","Saliency","WordPair","pracend.keys","pracend.rt","PracRepeat.thisRepN","PracRepeat.thisTrialN","PracRepeat.thisN","PracRepeat.thisIndex","PracRepeat.ran","ResponseKey.keys","ResponseKey.corr","ResponseKey.rt","firstlearntrials.thisRepN","firstlearntrials.thisTrialN","firstlearntrials.thisN","firstlearntrials.thisIndex","firstlearntrials.ran","brkcontinue.keys","Exptrials.thisRepN","Exptrials.thisTrialN","Exptrials.thisN","Exptrials.thisIndex","Exptrials.ran","brkcontinue.rt","afterpause.keys","afterpause.rt","blocks.thisRepN","blocks.thisTrialN","blocks.thisN","blocks.thisIndex","blocks.ran","CAproceed.keys","CAproceed.rt","CA_RespKey.keys","CA_RespKey.corr","CA_RespKey.rt","ContAwareness.thisRepN","ContAwareness.thisTrialN","ContAwareness.thisN","ContAwareness.thisIndex","ContAwareness.ran","AwarenessResp.keys","AwarenessResp.rt","Questionnaire.thisRepN","Questionnaire.thisTrialN","Questionnaire.thisN","Questionnaire.thisIndex","Questionnaire.ran","AwareQ","Performance","ContingencyChkScore","todebrief.keys","todebrief.rt","ExpExit.keys","ExpExit.rt"
"14","","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",2702,20,"female","right","German","2020-10-12_14h20.53.787","OS_Exp2_v2_onlytarget","2020.1.3","Win32",60,"Chrome",1280,720,NA,NA,NA,NA,NA,NA,NA,"",NA,0.45,"8","[""l""]",1,"[0.3997350001009181]",0,8,8,2,1,"Practice","klar","bunt","learn","valid","l","top","bottom","bunt",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA
"15","","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",2702,20,"female","right","German","2020-10-12_14h20.53.787","OS_Exp2_v2_onlytarget","2020.1.3","Win32",60,"Chrome",1280,720,NA,NA,NA,NA,NA,NA,NA,"",NA,0.5,"7","[""a""]",1,"[0.4823549999855459]",0,9,9,10,1,"Practice","dick","dick","test","valid","a","top","nil","salient",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA
"16","","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",2702,20,"female","right","German","2020-10-12_14h20.53.787","OS_Exp2_v2_onlytarget","2020.1.3","Win32",60,"Chrome",1280,720,NA,NA,NA,NA,NA,NA,NA,"",NA,0.45,"7","[""a""]",1,"[0.6491649999516085]",0,10,10,3,1,"Practice","hoch","dick","learn","valid","a","top","bottom","dick",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA
"17","","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",2702,20,"female","right","German","2020-10-12_14h20.53.787","OS_Exp2_v2_onlytarget","2020.1.3","Win32",60,"Chrome",1280,720,NA,NA,NA,NA,NA,NA,NA,"",NA,0.35,"5","[""a""]",1,"[0.8868800000054762]",0,11,11,11,1,"Practice","hoch","hoch","test","valid","a","bottom","nil","nonsalient",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA
"18","","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",2702,20,"female","right","German","2020-10-12_14h20.53.787","OS_Exp2_v2_onlytarget","2020.1.3","Win32",60,"Chrome",1280,720,NA,NA,NA,NA,NA,NA,NA,"",NA,0.45,"3","[""a""]",1,"[0.4361600000411272]",0,12,12,12,1,"Practice","klar","klar","test","invalid","a","top","nil","nonsalient",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA
"19","","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",2702,20,"female","right","German","2020-10-12_14h20.53.787","OS_Exp2_v2_onlytarget","2020.1.3","Win32",60,"Chrome",1280,720,NA,NA,NA,NA,NA,NA,NA,"",NA,0.35,"2","[""l""]",1,"[0.6702250000089407]",0,13,13,6,1,"Practice","klar","bunt","learn","valid","l","bottom","bottom","bunt",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA
"20","","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",2702,20,"female","right","German","2020-10-12_14h20.53.787","OS_Exp2_v2_onlytarget","2020.1.3","Win32",60,"Chrome",1280,720,NA,NA,NA,NA,NA,NA,NA,"",NA,0.45,"3","[""a""]",1,"[0.6407850000541657]",0,14,14,13,1,"Practice","bunt","bunt","test","invalid","a","bottom","nil","salient",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA
"21","","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",2702,20,"female","right","German","2020-10-12_14h20.53.787","OS_Exp2_v2_onlytarget","2020.1.3","Win32",60,"Chrome",1280,720,NA,NA,NA,NA,NA,NA,NA,"",NA,0.5,"2","[""l""]",1,"[0.5243349999655038]",0,15,15,0,1,"Practice","bunt","klar","learn","valid","l","top","top","bunt",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA
"22","","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,"","","","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,"","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA
"23","","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",2702,20,"female","right","German","2020-10-12_14h20.53.787","OS_Exp2_v2_onlytarget","2020.1.3","Win32",60,"Chrome",1280,720,NA,NA,NA,NA,NA,NA,NA,"",NA,0.35,"4","",NA,"",NA,NA,NA,NA,NA,"HeadStartLearn","Markt","Kreis","learn","valid","l","bottom","bottom","Kreis",3,NA,NA,NA,NA,NA,NA,NA,"[""l""]",1,"[0.5985899999504909]",0,0,0,6,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA
"24","","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",2702,20,"female","right","German","2020-10-12_14h20.53.787","OS_Exp2_v2_onlytarget","2020.1.3","Win32",60,"Chrome",1280,720,NA,NA,NA,NA,NA,NA,NA,"",NA,0.55,"7","",NA,"",NA,NA,NA,NA,NA,"HeadStartLearn","Tisch","Stein","learn","valid","a","bottom","bottom","Stein",3,NA,NA,NA,NA,NA,NA,NA,"[""a""]",1,"[0.6057700000237674]",0,1,1,7,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA
"25","","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",2702,20,"female","right","German","2020-10-12_14h20.53.787","OS_Exp2_v2_onlytarget","2020.1.3","Win32",60,"Chrome",1280,720,NA,NA,NA,NA,NA,NA,NA,"",NA,0.45,"9","",NA,"",NA,NA,NA,NA,NA,"HeadStartLearn","Stein","Tisch","learn","valid","a","bottom","top","Stein",3,NA,NA,NA,NA,NA,NA,NA,"[""a""]",1,"[0.7593649999471381]",0,2,2,5,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA
"26","","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",2702,20,"female","right","German","2020-10-12_14h20.53.787","OS_Exp2_v2_onlytarget","2020.1.3","Win32",60,"Chrome",1280,720,NA,NA,NA,NA,NA,NA,NA,"",NA,0.45,"6","",NA,"",NA,NA,NA,NA,NA,"HeadStartLearn","Kreis","Markt","learn","valid","l","bottom","top","Kreis",3,NA,NA,NA,NA,NA,NA,NA,"[""l""]",1,"[0.7639949999283999]",0,3,3,4,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA
"27","","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",2702,20,"female","right","German","2020-10-12_14h20.53.787","OS_Exp2_v2_onlytarget","2020.1.3","Win32",60,"Chrome",1280,720,NA,NA,NA,NA,NA,NA,NA,"",NA,0.35,"5","",NA,"",NA,NA,NA,NA,NA,"HeadStartLearn","Tisch","Stein","learn","valid","a","top","bottom","Stein",3,NA,NA,NA,NA,NA,NA,NA,"[""a""]",1,"[0.6078399999532849]",0,4,4,3,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA
"28","","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",2702,20,"female","right","German","2020-10-12_14h20.53.787","OS_Exp2_v2_onlytarget","2020.1.3","Win32",60,"Chrome",1280,720,NA,NA,NA,NA,NA,NA,NA,"",NA,0.5,"9","",NA,"",NA,NA,NA,NA,NA,"HeadStartLearn","Stein","Tisch","learn","valid","a","top","top","Stein",3,NA,NA,NA,NA,NA,NA,NA,"[""l"",""a""]",0,"[0.6837299999315292,0.8044599998975173]",0,5,5,1,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA
"29","","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",2702,20,"female","right","German","2020-10-12_14h20.53.787","OS_Exp2_v2_onlytarget","2020.1.3","Win32",60,"Chrome",1280,720,NA,NA,NA,NA,NA,NA,NA,"",NA,0.5,"2","",NA,"",NA,NA,NA,NA,NA,"HeadStartLearn","Kreis","Markt","learn","valid","l","top","top","Kreis",3,NA,NA,NA,NA,NA,NA,NA,"[""l""]",1,"[0.49923499999567866]",0,6,6,0,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA
"30","","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",2702,20,"female","right","German","2020-10-12_14h20.53.787","OS_Exp2_v2_onlytarget","2020.1.3","Win32",60,"Chrome",1280,720,NA,NA,NA,NA,NA,NA,NA,"",NA,0.55,"6","",NA,"",NA,NA,NA,NA,NA,"HeadStartLearn","Markt","Kreis","learn","valid","l","top","bottom","Kreis",3,NA,NA,NA,NA,NA,NA,NA,"[""l""]",1,"[0.5667649999959394]",0,7,7,2,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA
"31","","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",2702,20,"female","right","German","2020-10-12_14h20.53.787","OS_Exp2_v2_onlytarget","2020.1.3","Win32",60,"Chrome",1280,720,NA,NA,NA,NA,NA,NA,NA,"",NA,0.35,"8","",NA,"",NA,NA,NA,NA,NA,"HeadStartLearn","Markt","Kreis","learn","valid","l","bottom","bottom","Kreis",3,NA,NA,NA,NA,NA,NA,NA,"[""l""]",1,"[0.7657800000160933]",1,0,8,6,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA
"32","","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",2702,20,"female","right","German","2020-10-12_14h20.53.787","OS_Exp2_v2_onlytarget","2020.1.3","Win32",60,"Chrome",1280,720,NA,NA,NA,NA,NA,NA,NA,"",NA,0.4,"3","",NA,"",NA,NA,NA,NA,NA,"HeadStartLearn","Tisch","Stein","learn","valid","a","bottom","bottom","Stein",3,NA,NA,NA,NA,NA,NA,NA,"[""a""]",1,"[0.47681999998167157]",1,1,9,7,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA
"33","","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",2702,20,"female","right","German","2020-10-12_14h20.53.787","OS_Exp2_v2_onlytarget","2020.1.3","Win32",60,"Chrome",1280,720,NA,NA,NA,NA,NA,NA,NA,"",NA,0.5,"9","",NA,"",NA,NA,NA,NA,NA,"HeadStartLearn","Tisch","Stein","learn","valid","a","top","bottom","Stein",3,NA,NA,NA,NA,NA,NA,NA,"[""l"",""a""]",0,"[0.45000499999150634,0.9194350000470877]",1,2,10,3,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA
"34","","",NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,"","",2702,20,"female","right","German","2020-10-12_14h20.53.787","OS_Exp2_v2_onlytarget","2020.1.3","Win32",60,"Chrome",1280,720,NA,NA,NA,NA,NA,NA,NA,"",NA,0.55,"5","",NA,"",NA,NA,NA,NA,NA,"HeadStartLearn","Stein","Tisch","learn","valid","a","bottom","top","Stein",3,NA,NA,NA,NA,NA,NA,NA,"[""a""]",1,"[0.741440000012517]",1,3,11,5,1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA
